T1: 1 56, 3 8, 5 18, 7 12, 9 12, 11 45, 13 8, 15 3, 17 6, 19 21, 21 3, 23 5, 25 3, 27 18, 29 40, 31 30, 34 30, 36 1, 38 6, 40 77, 42 5, 44 7, 46 7, 48 21, 50 45, 52 30, 54 8, 56 20, 58 6, 60 40, 62 3, 64 4, 66 4, 68 56, 70 10, 72 48, 74 7
T432: 1 14, 3 32, 5 6, 7 6, 9 10, 11 25, 14 10, 16 24, 17 18, 19 27, 21 2, 24 20, 25 4, 28 20, 29 32, 31 27, 34 48, 36 7, 38 8, 40 110, 42 3, 44 3, 46 4, 48 35, 50 30, 52 18, 54 3, 56 24, 58 6, 60 12, 62 7, 64 4, 66 36, 68 70, 70 8, 73 18, 74 1
T433: 1 56, 3 40, 5 6, 7 12, 9 6, 12 2, 14 2, 16 27, 17 9, 19 18, 21 8, 24 4, 25 9, 28 6, 29 12, 31 24, 34 30, 36 6, 38 7, 40 44, 42 1, 44 9, 46 6, 48 28, 50 35, 52 48, 54 4, 56 12, 58 7, 60 12, 62 3, 64 4, 66 24, 68 63, 70 18, 73 18, 74 5
T434: 1 14, 3 32, 5 3, 7 24, 9 18, 11 20, 14 10, 15 15, 17 27, 20 5, 21 9, 24 10, 25 8, 28 10, 29 4, 31 18, 34 30, 36 6, 38 4, 40 55, 42 7, 44 3, 47 3, 48 70, 50 45, 52 36, 54 3, 56 4, 58 4, 60 8, 62 9, 64 24, 66 8, 68 70, 70 2, 73 6, 74 2
T435: 1 70, 3 24, 5 6, 7 30, 9 16, 11 20, 14 1, 16 15, 17 27, 20 7, 21 10, 24 10, 25 10, 28 10, 29 24, 31 9, 34 24, 36 10, 38 2, 40 88, 42 8, 44 5, 47 9, 48 70, 50 30, 52 60, 54 8, 56 20, 58 3, 60 12, 62 2, 64 32, 66 20, 68 42, 70 6, 73 16, 74 4
T436: 1 35, 3 28, 5 3, 7 21, 9 20, 11 20, 14 9, 15 12, 17 18, 19 15, 21 1, 24 12, 25 4, 28 4, 29 24, 31 24, 34 36, 36 3, 38 7, 40 33, 42 2, 44 6, 46 1, 48 28, 51 14, 52 48, 54 10, 56 36, 58 3, 60 36, 62 2, 64 24, 66 16, 68 7, 70 20, 73 6, 74 8
T437: 1 49, 3 20, 5 12, 7 9, 9 12, 11 40, 14 10, 16 9, 17 18, 19 24, 21 3, 24 20, 25 8, 28 4, 29 8, 31 27, 34 36, 36 6, 38 3, 40 22, 42 7, 44 4, 46 2, 48 14, 51 2, 52 36, 54 1, 56 16, 58 2, 60 24, 62 8, 64 36, 66 40, 68 7, 70 14, 73 8, 74 10
T438: 1 35, 3 16, 5 12, 7 6, 9 4, 12 14, 14 3, 16 18, 17 9, 19 21, 21 1, 24 2, 25 4, 28 4, 29 8, 31 21, 34 6, 36 4, 38 4, 40 110, 42 4, 44 1, 46 4, 48 14, 51 8, 52 42, 54 9, 56 32, 58 5, 60 32, 62 1, 64 12, 66 8, 68 70, 70 16, 73 14, 74 2
T439: 1 42, 3 36, 5 6, 7 18, 9 8, 11 30, 14 6, 15 21, 17 15, 19 27, 21 3, 24 8, 25 2, 28 6, 29 4, 33 18, 34 18, 36 10, 38 2, 40 110, 42 1, 44 6, 46 10, 48 7, 50 25, 52 48, 54 3, 56 40, 58 3, 60 24, 62 3, 64 12, 66 20, 68 63, 70 10, 72 18, 74 1
T440: 1 35, 3 8, 5 9, 7 3, 9 12, 12 2, 14 6, 15 12, 17 6, 19 21, 21 8, 24 18, 25 2, 28 8, 29 36, 33 27, 34 60, 36 1, 38 8, 40 88, 42 1, 44 10, 46 1, 48 70, 50 15, 52 6, 54 2, 56 40, 58 3, 60 28, 62 10, 64 32, 66 16, 68 21, 70 18, 72 18, 74 3
T441: 1 56, 3 32, 5 15, 7 6, 9 14, 11 45, 14 5, 16 30, 17 24, 19 24, 21 5, 24 10, 25 2, 28 12, 29 16, 33 9, 34 60, 36 7, 38 3, 40 99, 42 4, 44 5, 46 9, 48 21, 50 35, 52 48, 54 5, 56 4, 58 4, 60 28, 62 5, 64 24, 66 8, 68 28, 70 8, 72 24, 74 2
T442: 1 21, 3 16, 5 18, 7 3, 9 4, 12 8, 14 2, 15 6, 17 27, 20 1, 21 3, 24 20, 25 4, 28 6, 29 8, 33 54, 34 18, 36 9, 38 8, 40 77, 42 1, 44 6, 47 21, 48 70, 50 15, 52 12, 54 8, 56 4, 58 5, 60 28, 62 4, 64 20, 66 24, 68 28, 70 2, 72 42, 74 10
T443: 1 42, 4 50, 5 30, 7 9, 9 2, 11 25, 14 4, 15 12, 17 27, 19 3, 21 4, 24 20, 25 9, 28 12, 29 36, 31 30, 34 18, 36 7, 38 8, 40 22, 42 6, 44 3, 46 5, 48 28, 50 30, 52 36, 54 1, 56 40, 58 8, 60 28, 62 10, 64 40, 66 24, 68 35, 70 2, 72 48, 74 7
T444: 1 49, 4 15, 5 30, 7 15, 9 18, 11 40, 14 8, 16 21, 17 9, 19 18, 21 8, 24 8, 25 5, 28 14, 29 32, 31 15, 34 54, 36 6, 38 3, 40 110, 42 2, 44 5, 46 5, 48 49, 50 25, 52 60, 54 1, 56 36, 58 6, 60 20, 62 5, 64 40, 66 28, 68 70, 70 4, 72 6, 74 3
T445: 1 7, 4 50, 5 15, 7 24, 9 4, 11 35, 14 10, 15 12, 17 12, 19 12, 21 10, 24 2, 25 2, 28 6, 29 40, 31 30, 34 42, 36 7, 38 1, 40 77, 42 2, 44 10, 46 1, 48 35, 51 18, 52 48, 54 4, 56 24, 58 1, 60 20, 62 4, 64 8, 66 24, 68 14, 70 4, 72 18, 74 10
T446: 1 70, 4 5, 5 3, 7 21, 9 10, 11 5, 14 1, 16 3, 17 12, 19 6, 21 9, 24 20, 25 5, 28 8, 29 12, 31 21, 34 12, 36 1, 38 9, 40 11, 42 1, 44 3, 46 2, 48 7, 51 4, 52 54, 54 10, 56 32, 58 5, 60 28, 62 10, 64 24, 66 36, 68 70, 70 10, 72 24, 74 9
T447: 1 42, 4 5, 5 27, 7 9, 9 18, 12 12, 14 6, 16 15, 17 24, 19 24, 21 1, 24 16, 25 7, 28 18, 29 16, 31 12, 34 12, 36 7, 38 4, 40 33, 42 8, 44 4, 46 4, 48 28, 51 16, 52 24, 54 8, 56 8, 58 8, 60 16, 62 3, 64 32, 66 16, 68 7, 70 6, 72 60, 74 2
T448: 1 21, 4 40, 5 9, 7 18, 9 16, 11 50, 14 4, 15 30, 17 12, 19 24, 21 5, 24 16, 25 4, 28 8, 29 36, 31 27, 34 6, 36 1, 38 6, 40 77, 42 1, 44 6, 46 10, 48 21, 50 35, 52 12, 54 9, 56 16, 58 5, 60 28, 62 8, 64 4, 66 4, 68 70, 70 12, 73 12, 74 3
T449: 1 56, 4 5, 5 15, 7 15, 9 16, 11 10, 14 3, 16 3, 17 3, 19 6, 21 1, 24 2, 25 8, 28 12, 29 28, 31 3, 34 6, 36 4, 38 6, 40 11, 42 2, 44 4, 46 6, 48 14, 50 40, 52 36, 54 8, 56 40, 58 1, 60 36, 62 2, 64 28, 66 36, 68 42, 70 6, 73 8, 74 2
T450: 1 56, 4 25, 5 12, 7 9, 9 12, 11 45, 14 9, 15 9, 17 18, 19 30, 21 7, 24 2, 25 6, 28 6, 29 16, 31 6, 34 42, 36 10, 38 7, 40 110, 42 8, 44 2, 46 7, 48 28, 51 12, 52 36, 54 10, 56 40, 58 8, 60 4, 62 9, 64 16, 66 28, 68 35, 70 2, 73 2, 74 9
T451: 1 7, 4 20, 5 21, 7 9, 9 16, 11 45, 14 3, 15 15, 17 18, 19 9, 21 5, 24 4, 25 3, 28 4, 29 28, 33 9, 34 60, 36 1, 38 10, 40 88, 42 2, 44 9, 46 10, 48 14, 50 35, 52 54, 54 7, 56 36, 58 9, 60 36, 62 1, 64 12, 66 40, 68 28, 70 12, 72 30, 74 4
T452: 1 35, 4 35, 5 30, 7 21, 9 18, 11 45, 14 7, 16 24, 17 21, 19 12, 21 10, 24 16, 25 3, 28 4, 29 36, 33 72, 34 6, 36 5, 38 3, 40 33, 42 5, 44 4, 46 9, 48 21, 50 50, 52 36, 54 3, 56 4, 58 8, 60 28, 62 8, 64 24, 66 40, 68 63, 70 8, 72 60, 74 1
T453: 1 35, 4 30, 5 9, 7 6, 9 6, 11 20, 14 7, 15 30, 17 21, 19 27, 21 7, 24 12, 25 10, 28 14, 29 20, 33 18, 34 60, 36 2, 38 10, 40 66, 42 7, 44 1, 46 6, 48 21, 51 12, 52 48, 54 2, 56 40, 58 3, 60 24, 62 5, 64 12, 66 36, 68 7, 70 16, 72 6, 74 1
T454: 1 56, 3 40, 5 18, 7 24, 9 20, 12 2, 14 6, 15 27, 17 15, 19 12, 21 9, 23 30, 25 4, 28 6, 29 40, 31 12, 34 24, 36 2, 39 2, 40 110, 42 2, 44 8, 46 1, 48 14, 51 18, 52 6, 54 7, 56 24, 58 3, 60 36, 62 3, 64 12, 66 40, 68 35, 71 28, 72 48, 74 7
T455: 1 28, 3 20, 5 15, 7 6, 10 48, 12 8, 14 5, 15 6, 17 18, 19 12, 21 2, 23 15, 25 9, 28 6, 29 36, 31 24, 34 12, 36 7, 39 8, 40 33, 42 9, 44 10, 46 4, 48 70, 51 14, 52 30, 54 1, 56 20, 58 2, 60 32, 62 10, 64 32, 66 28, 68 49, 71 24, 72 54, 74 4
T456: 1 14, 3 8, 5 30, 7 3, 9 18, 12 4, 14 5, 15 21, 17 24, 19 6, 21 7, 23 20, 25 2, 28 8, 29 12, 31 9, 34 36, 36 6, 39 4, 40 99, 42 7, 44 1, 46 2, 48 42, 51 12, 52 54, 54 9, 56 28, 58 9, 60 12, 62 7, 64 32, 66 16, 69 40, 71 4, 72 36, 74 1
T457: 1 56, 3 28, 5 30, 7 18, 10 42, 11 20, 14 3, 15 21, 17 21, 19 6, 21 5, 24 6, 25 5, 28 12, 29 36, 31 3, 34 54, 36 10, 39 4, 40 44, 42 10, 44 10, 46 4, 48 21, 51 16, 52 36, 54 9, 56 8, 58 4, 60 20, 62 10, 64 8, 66 8, 68 7, 71 24, 72 36, 74 5
T458: 1 70, 3 12, 5 3, 7 15, 9 18, 11 15, 14 1, 16 12, 18 14, 20 5, 21 3, 23 35, 25 4, 28 4, 29 28, 31 30, 34 6, 36 8, 38 7, 40 99, 42 3, 44 2, 46 2, 48 14, 50 35, 52 48, 54 8, 56 24, 58 2, 60 4, 62 7, 64 12, 66 32, 68 56, 70 12, 72 54, 74 9
T459: 1 49, 3 36, 5 9, 7 21, 9 12, 12 2, 14 7, 16 21, 18 4, 20 5, 21 10, 23 25, 25 7, 28 12, 29 40, 31 27, 34 6, 36 7, 38 8, 40 88, 42 4, 44 9, 46 10, 48 49, 50 10, 52 6, 54 10, 56 8, 58 1, 60 8, 62 6, 64 4, 66 4, 68 14, 70 8, 72 54, 74 4
T460: 1 28, 3 20, 5 12, 7 9, 9 6, 12 16, 14 4, 16 6, 18 12, 20 3, 21 3, 23 25, 25 7, 28 2, 29 32, 31 6, 34 24, 36 7, 38 9, 40 22, 42 7, 44 3, 46 9, 48 28, 50 35, 52 36, 54 9, 56 24, 58 9, 60 40, 62 5, 64 12, 66 16, 68 42, 71 20, 72 24, 74 2
T461: 1 49, 3 40, 5 12, 7 6, 9 4, 11 10, 14 10, 16 12, 18 18, 20 3, 21 3, 23 40, 25 4, 28 10, 29 4, 31 30, 34 54, 36 9, 38 9, 40 77, 42 7, 44 4, 47 27, 48 70, 50 30, 52 24, 54 10, 56 36, 58 5, 60 20, 62 6, 64 40, 66 8, 68 49, 70 18, 72 60, 74 3
T462: 1 28, 3 36, 5 30, 7 15, 9 10, 12 2, 14 7, 16 15, 18 2, 20 9, 21 7, 23 15, 25 6, 28 2, 29 20, 31 18, 34 30, 36 8, 38 4, 40 66, 42 6, 44 10, 47 30, 48 56, 50 25, 52 42, 54 2, 56 16, 58 3, 60 4, 62 6, 64 24, 66 16, 68 28, 70 14, 72 24, 74 6
T463: 1 28, 3 40, 5 27, 7 30, 9 12, 12 12, 14 2, 16 30, 18 18, 20 6, 21 10, 23 30, 25 7, 28 4, 29 32, 31 18, 34 6, 36 7, 38 6, 40 99, 42 3, 44 3, 46 1, 48 14, 51 14, 52 6, 54 3, 56 24, 58 7, 60 12, 62 3, 64 12, 66 40, 68 70, 70 18, 72 42, 74 6
T464: 1 14, 3 4, 5 12, 7 6, 9 2, 11 35, 14 9, 16 18, 18 8, 20 5, 21 5, 24 2, 25 10, 28 16, 29 40, 31 27, 34 42, 36 8, 38 1, 40 11, 42 5, 44 2, 46 4, 48 28, 50 40, 52 36, 54 2, 56 36, 58 8, 60 20, 62 3, 64 36, 66 24, 68 28, 70 4, 72 6, 74 8
T465: 1 49, 3 36, 5 15, 7 15, 9 8, 11 25, 14 3, 16 12, 18 12, 20 10, 21 2, 24 10, 25 1, 28 4, 29 36, 31 24, 34 54, 36 8, 38 10, 40 22, 42 9, 44 1, 47 9, 48 14, 50 40, 52 6, 54 6, 56 32, 58 4, 60 24, 62 8, 64 4, 66 24, 68 28, 70 12, 72 36, 74 10
T466: 1 56, 3 12, 5 21, 7 27, 9 2, 11 5, 14 2, 16 3, 18 6, 20 4, 21 8, 24 20, 25 8, 28 8, 29 28, 31 3, 34 36, 36 9, 38 8, 40 66, 42 1, 44 8, 46 5, 48 49, 51 16, 52 42, 54 10, 56 36, 58 7, 60 40, 62 9, 64 4, 66 4, 68 56, 70 2, 72 6, 74 4
T467: 1 56, 3 40, 5 9, 7 6, 9 14, 11 35, 14 4, 16 21, 18 2, 20 2, 21 9, 24 20, 25 3, 28 16, 29 4, 31 30, 34 30, 36 4, 38 4, 40 110, 42 4, 44 4, 46 3, 48 63, 50 45, 52 18, 54 4, 56 12, 58 1, 60 36, 62 8, 64 32, 66 36, 68 14, 70 20, 73 14, 74 2
T468: 1 28, 3 4, 5 21, 7 6, 9 20, 11 50, 14 9, 16 21, 18 10, 20 1, 21 4, 24 6, 25 1, 28 18, 29 28, 31 27, 34 24, 36 10, 38 10, 40 88, 42 5, 44 1, 46 2, 48 7, 51 6, 52 12, 54 9, 56 28, 58 5, 60 20, 62 1, 64 28, 66 40, 68 14, 70 2, 73 2, 74 7
T469: 1 7, 3 4, 5 15, 7 30, 9 18, 11 35, 14 7, 15 9, 17 27, 19 27, 21 7, 23 15, 25 7, 28 2, 29 8, 31 18, 34 18, 36 7, 38 7, 40 11, 42 3, 44 2, 46 8, 49 10, 50 40, 52 24, 54 9, 56 40, 58 3, 60 32, 62 5, 64 16, 66 16, 68 56, 70 4, 72 48, 74 9
T470: 1 35, 3 8, 5 15, 7 18, 9 4, 11 40, 14 3, 15 24, 17 3, 20 7, 21 8, 23 50, 25 2, 28 4, 29 16, 31 21, 34 12, 36 7, 38 5, 40 11, 42 2, 44 3, 47 12, 49 10, 50 40, 52 24, 54 9, 56 4, 58 4, 60 36, 62 3, 64 8, 66 16, 68 21, 70 2, 72 42, 74 2
T471: 1 28, 3 32, 5 15, 7 15, 9 16, 11 15, 14 7, 15 6, 17 3, 19 30, 21 8, 23 10, 25 9, 28 4, 29 36, 31 15, 34 54, 36 10, 38 2, 40 88, 42 5, 44 5, 46 3, 49 8, 51 12, 52 12, 54 6, 56 12, 58 6, 60 16, 62 2, 64 28, 66 40, 68 42, 70 20, 72 12, 74 7
T472: 1 63, 3 4, 5 15, 7 15, 9 6, 11 30, 14 3, 15 12, 17 18, 19 30, 21 5, 24 18, 25 2, 28 8, 29 8, 31 27, 34 54, 36 9, 38 9, 40 22, 42 2, 44 1, 46 10, 49 2, 50 25, 52 36, 54 9, 56 20, 58 6, 60 28, 62 5, 64 24, 66 12, 68 49, 70 4, 72 30, 74 8
T473: 1 21, 3 24, 5 3, 7 12, 9 8, 11 50, 14 10, 15 9, 17 3, 20 10, 21 2, 24 18, 25 4, 28 6, 29 12, 31 21, 34 60, 36 6, 38 9, 40 99, 42 8, 44 6, 47 3, 49 12, 50 30, 52 30, 54 9, 56 20, 58 2, 60 40, 62 7, 64 20, 66 28, 68 49, 70 4, 72 18, 74 8
T474: 1 21, 3 40, 5 12, 7 27, 9 4, 11 5, 14 10, 15 12, 17 27, 19 3, 21 5, 24 18, 25 2, 28 18, 29 32, 33 27, 34 42, 36 6, 38 6, 40 99, 42 10, 44 8, 46 5, 49 10, 50 5, 52 12, 54 6, 56 16, 58 5, 60 16, 62 3, 64 24, 66 24, 68 35, 70 12, 72 48, 74 2
T475: 1 70, 3 4, 5 30, 7 6, 9 2, 11 10, 14 3, 15 18, 17 15, 19 21, 21 6, 24 12, 25 7, 28 2, 29 32, 31 21, 34 42, 37 16, 38 3, 40 55, 42 3, 44 5, 46 6, 49 14, 50 30, 52 30, 54 3, 56 36, 58 4, 60 4, 62 6, 64 12, 66 24, 68 35, 70 16, 72 60, 74 5
T476: 1 56, 3 32, 5 15, 7 12, 9 2, 11 40, 13 9, 15 18, 17 21, 19 9, 21 3, 23 50, 25 7, 28 10, 29 28, 31 9, 34 48, 36 9, 38 4, 40 110, 42 8, 44 9, 46 4, 48 70, 50 25, 52 42, 55 2, 56 40, 58 1, 60 24, 62 6, 64 24, 66 32, 68 56, 70 14, 72 36, 74 4
T477: 1 28, 3 20, 5 15, 7 18, 9 8, 12 8, 13 9, 15 9, 17 12, 19 15, 21 6, 23 30, 25 1, 28 2, 29 24, 31 9, 34 12, 36 5, 38 7, 40 110, 42 7, 44 7, 46 7, 48 49, 50 15, 52 48, 55 2, 56 16, 58 3, 60 24, 62 1, 64 28, 66 8, 68 63, 70 6, 72 48, 74 7
T478: 1 63, 3 40, 5 21, 7 24, 9 14, 12 16, 13 2, 16 27, 17 27, 19 9, 21 9, 23 25, 25 3, 28 6, 29 12, 31 24, 34 12, 36 8, 38 7, 40 99, 42 9, 44 2, 46 1, 48 56, 50 30, 52 6, 55 8, 56 12, 58 3, 60 36, 62 8, 64 16, 66 40, 68 70, 70 14, 72 6, 74 7
T479: 1 63, 3 8, 5 15, 7 6, 9 16, 11 50, 13 2, 15 12, 17 6, 20 4, 21 6, 23 5, 25 9, 28 8, 29 32, 31 18, 34 54, 36 1, 38 1, 40 11, 42 4, 44 2, 47 15, 48 56, 50 45, 52 24, 55 14, 56 40, 58 3, 60 12, 62 8, 64 4, 66 12, 68 70, 70 8, 72 18, 74 7
T480: 1 56, 3 12, 5 12, 7 9, 9 18, 12 20, 13 9, 15 30, 17 18, 20 3, 21 6, 23 40, 25 6, 28 10, 29 8, 31 24, 34 24, 36 7, 38 8, 40 55, 42 8, 44 2, 47 15, 48 28, 50 30, 52 6, 55 6, 56 28, 58 10, 60 36, 62 7, 64 36, 66 24, 68 21, 70 10, 72 18, 74 7
T481: 1 63, 3 40, 5 3, 7 9, 9 2, 11 35, 13 6, 15 27, 17 15, 19 21, 21 4, 23 40, 25 1, 28 4, 29 32, 31 15, 34 12, 36 7, 38 8, 40 99, 42 6, 44 7, 46 3, 48 42, 51 12, 52 12, 55 16, 56 12, 58 1, 60 36, 62 2, 64 24, 66 36, 68 49, 70 14, 72 18, 74 1
T482: 1 28, 3 12, 5 30, 7 15, 9 14, 12 18, 13 8, 15 30, 17 12, 19 30, 21 3, 23 35, 25 5, 28 10, 29 28, 31 24, 34 48, 36 2, 38 5, 40 44, 42 8, 44 8, 46 6, 48 70, 51 10, 52 24, 55 12, 56 28, 58 5, 60 32, 62 1, 64 32, 66 12, 68 7, 70 18, 72 24, 74 5
T483: 1 42, 3 4, 5 18, 7 3, 9 20, 11 5, 13 8, 15 21, 17 27, 19 9, 21 7, 23 50, 25 6, 28 4, 29 8, 31 12, 34 54, 36 4, 38 9, 40 11, 42 4, 44 8, 46 7, 48 7, 51 10, 52 24, 55 20, 56 8, 58 6, 60 40, 63 2, 64 40, 66 4, 68 49, 70 12, 72 36, 74 4
T484: 1 35, 3 8, 5 18, 7 21, 9 6, 12 16, 13 3, 16 27, 17 21, 19 6, 21 10, 23 35, 25 5, 28 20, 29 4, 31 3, 34 60, 36 3, 38 10, 40 66, 42 9, 44 5, 46 5, 48 28, 51 20, 52 48, 55 10, 56 32, 58 6, 60 40, 62 7, 64 32, 66 36, 68 7, 70 20, 72 36, 74 4
T485: 1 28, 3 40, 5 24, 7 6, 9 12, 11 15, 13 2, 15 27, 17 6, 20 9, 21 7, 23 30, 25 9, 28 20, 29 32, 31 12, 34 12, 36 8, 38 5, 40 77, 42 5, 44 10, 47 30, 48 63, 51 2, 52 48, 55 18, 56 20, 58 4, 60 28, 62 6, 64 20, 66 32, 68 7, 70 14, 72 18, 74 2
T486: 1 42, 3 24, 5 9, 7 15, 9 18, 12 4, 13 7, 15 18, 17 30, 20 2, 21 4, 23 45, 25 6, 28 20, 29 28, 31 12, 34 48, 36 9, 38 9, 40 66, 42 6, 44 8, 47 15, 48 56, 51 16, 52 36, 55 20, 56 12, 58 3, 60 4, 62 8, 64 8, 66 12, 68 7, 70 6, 72 60, 74 4
T487: 1 56, 3 4, 5 6, 7 21, 9 8, 11 40, 13 8, 16 3, 17 21, 20 5, 21 9, 23 20, 25 6, 28 8, 29 8, 31 30, 34 30, 36 6, 38 7, 40 55, 42 3, 44 4, 47 6, 48 28, 51 6, 52 12, 55 12, 56 36, 58 9, 60 4, 62 5, 64 32, 66 40, 68 56, 70 4, 72 24, 74 3
T488: 1 28, 3 16, 5 21, 7 30, 9 2, 11 25, 13 5, 15 12, 17 15, 19 18, 21 10, 23 20, 25 7, 28 18, 29 20, 31 3, 34 48, 37 16, 38 9, 40 33, 42 1, 44 4, 46 4, 48 35, 50 15, 52 42, 55 6, 56 12, 58 8, 60 32, 62 10, 64 20, 66 4, 68 49, 70 8, 72 12, 74 5
T489: 1 35, 3 8, 5 15, 7 21, 9 10, 11 35, 13 4, 15 30, 17 24, 20 2, 21 8, 23 20, 25 8, 28 18, 29 36, 31 21, 34 54, 37 16, 38 7, 40 110, 42 4, 44 3, 47 27, 48 7, 50 50, 52 42, 55 14, 56 24, 58 8, 60 40, 62 7, 64 4, 66 12, 68 7, 70 20, 72 6, 74 4
T490: 1 56, 3 4, 5 3, 7 30, 9 10, 11 35, 13 3, 15 3, 17 18, 19 9, 21 3, 23 30, 25 3, 28 20, 29 36, 31 27, 34 36, 37 32, 38 4, 40 11, 42 6, 44 3, 46 7, 48 70, 51 4, 52 54, 55 20, 56 16, 58 7, 60 20, 62 7, 64 24, 66 20, 68 28, 70 8, 72 42, 74 9
T491: 1 35, 3 40, 5 30, 7 15, 9 12, 12 10, 13 5, 16 9, 18 6, 20 7, 21 2, 23 30, 25 1, 28 4, 29 20, 31 24, 34 6, 36 7, 38 2, 40 66, 42 10, 44 7, 46 1, 48 63, 50 20, 52 30, 55 16, 56 36, 58 7, 60 20, 62 7, 64 24, 66 8, 68 63, 70 20, 72 42, 74 8
T492: 1 35, 3 28, 5 9, 7 18, 9 12, 12 20, 13 9, 16 18, 18 18, 20 1, 21 2, 23 15, 25 7, 28 12, 29 40, 31 30, 34 42, 36 8, 38 10, 40 110, 42 1, 44 4, 46 6, 48 14, 51 10, 52 30, 55 14, 56 4, 58 1, 60 28, 62 2, 64 20, 66 16, 68 28, 70 2, 72 48, 74 3
T493: 1 56, 3 16, 5 21, 7 9, 9 18, 11 45, 14 8, 15 15, 17 30, 19 30, 21 1, 23 10, 25 4, 28 6, 29 24, 31 12, 34 42, 36 3, 38 2, 40 44, 42 8, 44 9, 46 2, 48 35, 50 10, 52 12, 55 18, 56 8, 58 7, 60 32, 62 9, 64 20, 66 20, 68 49, 70 20, 72 36, 74 3
T494: 1 28, 3 12, 5 6, 7 27, 9 12, 11 15, 14 2, 15 15, 17 30, 19 15, 21 10, 23 45, 25 1, 28 2, 29 4, 31 18, 34 6, 36 5, 38 3, 40 55, 42 6, 44 4, 46 5, 48 56, 50 45, 52 30, 55 8, 56 40, 58 2, 60 20, 62 2, 64 20, 66 4, 68 35, 71 12, 72 30, 74 4
T495: 1 49, 3 12, 5 27, 7 30, 10 36, 11 35, 14 3, 15 3, 17 30, 19 30, 21 2, 23 30, 25 6, 28 8, 29 20, 31 3, 34 36, 36 4, 38 4, 40 33, 42 4, 44 1, 46 10, 48 28, 50 50, 52 48, 55 20, 56 12, 58 1, 60 8, 62 8, 64 28, 66 8, 68 28, 71 12, 72 30, 74 8
T496: 1 56, 3 28, 5 9, 7 18, 9 14, 12 14, 14 10, 15 3, 17 3, 19 30, 21 7, 23 40, 25 1, 28 10, 29 28, 31 24, 34 6, 36 2, 38 9, 40 55, 42 1, 44 8, 46 5, 48 7, 50 20, 52 24, 55 18, 56 36, 58 4, 60 12, 62 1, 64 40, 66 4, 68 70, 70 8, 72 54, 74 5
T497: 1 21, 3 8, 5 6, 7 24, 9 2, 12 6, 14 6, 15 30, 17 9, 19 9, 21 7, 23 40, 25 1, 28 12, 29 8, 31 27, 34 60, 36 2, 38 8, 40 44, 42 5, 44 2, 46 1, 48 56, 50 40, 52 36, 55 14, 56 24, 58 10, 60 8, 62 7, 64 4, 66 28, 68 14, 71 4, 72 24, 74 4
T498: 1 42, 3 16, 5 18, 7 12, 10 12, 12 12, 14 3, 15 18, 17 27, 19 9, 21 4, 23 5, 25 9, 28 20, 29 24, 31 12, 34 12, 36 1, 38 4, 40 66, 42 8, 44 1, 46 1, 48 70, 50 35, 52 24, 55 16, 56 28, 58 2, 60 24, 62 8, 64 40, 66 40, 68 49, 70 6, 72 12, 74 3
T499: 1 14, 3 28, 5 30, 7 12, 10 36, 12 4, 14 9, 15 18, 17 18, 19 27, 21 3, 23 45, 25 9, 28 16, 29 28, 31 18, 34 18, 36 7, 38 6, 40 55, 42 9, 44 9, 46 3, 48 28, 50 5, 52 42, 55 18, 56 8, 58 4, 60 28, 62 7, 64 36, 66 40, 68 7, 71 8, 72 42, 74 3
T500: 1 7, 3 20, 5 12, 7 9, 9 12, 12 4, 14 2, 16 12, 17 6, 19 27, 21 2, 23 20, 25 5, 28 14, 29 16, 31 18, 34 30, 36 5, 38 6, 40 99, 42 3, 44 10, 46 4, 48 7, 50 35, 52 42, 55 6, 56 32, 58 3, 60 16, 62 1, 64 28, 66 32, 68 56, 70 16, 72 54, 74 10
T501: 1 14, 3 4, 5 6, 7 24, 9 8, 12 2, 14 4, 15 30, 17 18, 19 21, 21 7, 23 35, 25 3, 28 10, 29 16, 31 15, 34 60, 36 9, 38 4, 40 88, 42 4, 44 5, 46 10, 48 21, 50 45, 52 36, 55 20, 56 12, 58 4, 60 4, 62 5, 64 28, 66 28, 69 32, 71 28, 72 42, 74 5
T502: 1 14, 3 4, 5 24, 7 12, 9 8, 11 50, 14 8, 15 21, 17 3, 20 5, 21 10, 23 30, 25 2, 28 18, 29 12, 31 30, 34 36, 36 10, 38 9, 40 33, 42 1, 44 6, 47 6, 48 21, 50 10, 52 60, 55 16, 56 16, 58 5, 60 16, 62 8, 64 32, 66 12, 68 56, 70 8, 72 36, 74 1
T503: 1 63, 3 28, 5 21, 7 27, 9 18, 12 20, 14 7, 15 18, 17 21, 20 3, 21 1, 23 15, 25 3, 28 12, 29 20, 31 27, 34 48, 36 6, 38 1, 40 66, 42 10, 44 4, 47 21, 48 28, 50 25, 52 6, 55 20, 56 28, 58 4, 60 16, 62 4, 64 32, 66 16, 68 42, 70 6, 72 12, 74 10
T504: 1 56, 3 28, 5 27, 7 3, 9 6, 11 50, 14 5, 16 30, 17 24, 20 3, 21 5, 23 25, 25 1, 28 16, 29 12, 31 9, 34 18, 36 1, 38 8, 40 11, 42 2, 44 9, 47 18, 48 14, 50 25, 52 12, 55 14, 56 8, 58 7, 60 12, 62 9, 64 20, 66 16, 68 42, 70 16, 72 54, 74 10
